left_sum,right_sum,kef1,kef2,min_win
25912.7,136242.54,5.76,1.17,True
125.64,121.48,1.87,1.94,True
20507.51,7878.11,1.35,3.36,False
2143190.19,2930591.95,2.24,1.66,False
43844.8,37213.96,1.77,2.07,False
865.43,427.03,1.45,2.83,True
1182.99,312.32,1.24,4.43,False
2663693.77,730991.94,1.25,4.3,True
395.0,213.58,1.49,2.67,True
15423.28,2786.57,1.16,6.01,False
4480.25,6248.13,2.26,1.65,False
12495.71,13788.47,2.0,1.82,False
18.96,10.0,1.48,2.72,False
67.48,21.0,1.28,3.91,True
566.3,444.69,1.71,2.15,True
1961564.48,468975.36,1.22,4.78,True
82973.56,82079.86,1.9,1.91,True
34959.85,26331.82,1.68,2.2,False
106518.06,38132.76,1.32,3.53,False
179.71,1073.02,6.4,1.15,True
1372.81,8365.65,6.51,1.15,True
1975.97,675.97,1.31,3.64,False
77767.66,62535.46,1.73,2.13,False
1549957.51,1472493.82,1.86,1.95,True
985.38,240.96,1.22,4.7,True
12.48,11.0,1.8,2.03,False
16661.36,36442.43,2.98,1.41,False
28.0,31.0,2.0,1.82,False
697018.59,2675590.78,4.47,1.24,False
28425.22,3103.04,1.1,9.29,True
18493.31,2264.62,1.11,8.39,True
3034065.98,2118294.99,1.63,2.3,False
21.0,2.0,1.09,10.5,False
25466.42,15624.66,1.56,2.47,False
2154900.12,818409.99,1.34,3.38,True
16597.74,32810.14,2.79,1.46,True
13754.46,6518.57,1.43,2.91,True
1091.0,251.47,1.21,4.93,True
11027.6,58893.46,5.83,1.17,True
1826.42,2668.78,2.32,1.62,True
2245000.26,2663258.51,2.07,1.76,False
114.48,97.0,1.77,2.07,False
402.26,148.92,1.33,3.44,True
12128.13,895.84,1.07,13.25,True
37621.64,101053.05,3.43,1.34,True
19270.37,16664.42,1.78,2.05,True
472.97,176.18,1.34,3.43,True
12976.55,9381.86,1.65,2.25,False
150465.46,1048417.85,7.3,1.13,True
168.0,34.39,1.19,5.42,True
9760.31,10025.19,1.93,1.88,True
23659.67,66597.42,3.55,1.32,True
3041.61,3860.73,2.15,1.71,False
20562.54,33100.28,2.46,1.56,False
2009884.02,2104691.99,1.95,1.86,False
39.0,56.0,2.3,1.63,True
1819.95,30000.0,15.91,1.05,True
17180.15,4228.66,1.22,4.68,True
15929.21,14665.78,1.83,1.98,True
278909.43,8178.82,1.03,31.85,True
37250.1,1195.56,1.03,29.19,True
1449.46,560.53,1.35,3.34,True
40392.58,30219.93,1.68,2.21,True
107443.39,200518.55,2.69,1.48,True
5781483.95,2303698.24,1.36,3.27,False
4859.41,2109.81,1.39,3.08,False
178789.27,38030.92,1.19,5.25,False
4289.79,264.44,1.06,15.68,False
1987.23,862.07,1.39,3.09,True
20011.44,14986.31,1.68,2.21,True
5367.67,1762.01,1.3,3.76,False
2752291.56,439231.89,1.14,6.67,True
29632.65,43145.27,2.32,1.62,True
17824.67,115485.03,6.86,1.14,True
3893.04,252.26,1.06,14.96,True
30306.43,2835.68,1.08,10.67,True
5095.06,6544.31,2.16,1.7,True
3328301.82,1713470.81,1.47,2.76,True
8493.06,3753.03,1.4,3.05,False
11933.25,4449.55,1.34,3.43,True
2595.92,12652.54,5.41,1.19,True
39600.39,43552.53,2.0,1.82,False
5210.77,8184.69,2.42,1.58,True
778933.13,300330.25,1.35,3.35,True
2314.62,160915.51,63.9,1.01,True
18.0,1000.0,51.27,1.02,False
496666.17,67868.67,1.12,7.62,False
16386.19,13043.8,1.72,2.14,False
11598.63,213334.64,17.64,1.05,True
418398.41,121048.87,1.26,4.13,True
334988.18,98601.24,1.27,4.07,False
23960.13,67367.82,3.54,1.32,True
8870.61,3995.18,1.41,3.01,True
22156.45,21840.94,1.89,1.92,False
699.78,772.9,2.0,1.82,True
12721.5,10839.03,1.77,2.06,True
3432.92,2235.06,1.59,2.39,False
1637.07,435.66,1.24,4.4,True
106487.08,14715.19,1.13,7.55,True
51.0,25.0,1.44,2.85,False
407995.58,49184.45,1.11,8.51,True
64230.74,40877.03,1.58,2.42,True
13896.68,8804.37,1.57,2.43,True
71017.91,78928.83,2.01,1.81,True
34688.6,51951.47,2.36,1.6,False
1436.0,514.33,1.32,3.53,True
467803.34,46423.87,1.09,10.12,True
334737.93,18573.93,1.05,17.31,True
26964.75,63283.83,3.12,1.39,True
70319.51,9022.21,1.12,8.05,True
61027.03,38881.61,1.58,2.42,True
5483.29,12133.02,3.0,1.41,False
127772.28,2782.68,1.02,42.55,True
1519.52,220.23,1.13,7.24,True
41030.0,1916.05,1.04,20.38,True
493.77,518.13,1.95,1.86,False
118282.74,38857.28,1.3,3.75,True
106905.43,12324.68,1.1,8.85,True
66308.49,105920.43,2.45,1.57,False
4052.42,1623.89,1.36,3.26,True
189.24,1100.22,6.26,1.16,True
24483.45,9483.67,1.35,3.34,True
1026479.74,884309.25,1.78,2.05,False
